race_id,exotic_results
ascot-2026-02-07-r1,"{""quinella"": ""2.60"", ""exacta"": ""6.10"", ""trifecta"": ""15.80""}"
ascot-2026-02-07-r3,"{""quinella"": ""2.70"", ""exacta"": ""5.70"", ""trifecta"": ""18.80""}"
ascot-2026-02-07-r4,"{""quinella place 1"": ""4.90"", ""quinella place 2"": ""185.90"", ""quinella"": ""197.00"", ""exacta"": ""341.50"", ""quinella place 3"": ""86.00"", ""trifecta"": ""2021.30""}"
ascot-2026-02-07-r5,"{""quinella"": ""31.80"", ""exacta"": ""42.50"", ""quinella place 1"": ""11.80"", ""quinella place 2"": ""2.20"", ""quinella place 3"": ""9.10"", ""trifecta"": ""148.20"", ""early quaddie"": ""31754.90""}"
ascot-2026-02-07-r6,"{""quinella"": ""17.20"", ""exacta"": ""23.80"", ""quinella place 1"": ""5.40"", ""quinella place 2"": ""2.50"", ""quinella place 3"": ""5.70"", ""trifecta"": ""86.30""}"
ascot-2026-02-07-r8,"{""quinella place 1"": ""2.80"", ""quinella place 2"": ""23.50"", ""quinella"": ""42.40"", ""exacta"": ""45.40"", ""quinella place 3"": ""19.70"", ""trifecta"": ""257.00""}"
ascot-2026-02-07-r9,"{""daily double"": ""5.90"", ""quinella"": ""11.30"", ""exacta"": ""21.40"", ""quinella place 1"": ""4.20"", ""quinella place 2"": ""5.80"", ""quinella place 3"": ""6.30"", ""treble"": ""17.60"", ""trifecta"": ""123.90"", ""quaddie"": ""103.60""}"
caulfield-2026-02-07-r1,"{""quinella"": ""5.00"", ""exacta"": ""7.00"", ""trifecta"": ""30.10""}"
caulfield-2026-02-07-r2,"{""quinella"": ""3.20"", ""exacta"": ""3.40"", ""trifecta"": ""12.20""}"
caulfield-2026-02-07-r4,"{""quinella place 1"": ""3.80"", ""quinella"": ""99.50"", ""exacta"": ""122.20"", ""quinella place 2"": ""28.40"", ""quinella place 3"": ""51.10"", ""trifecta"": ""885.50""}"
caulfield-2026-02-07-r5,"{""quinella"": ""7.40"", ""exacta"": ""13.00"", ""quinella place 1"": ""4.30"", ""quinella place 2"": ""33.30"", ""quinella place 3"": ""32.30"", ""trifecta"": ""493.90""}"
caulfield-2026-02-07-r6,"{""quinella"": ""18.30"", ""exacta"": ""24.90"", ""trifecta"": ""68.30"", ""early quaddie"": ""1883.40""}"
caulfield-2026-02-07-r7,"{""quinella place 1"": ""3.80"", ""quinella"": ""10.40"", ""exacta"": ""17.20"", ""quinella place 2"": ""3.70"", ""quinella place 3"": ""3.60"", ""trifecta"": ""72.20""}"
caulfield-2026-02-07-r8,"{""quinella place 1"": ""25.20"", ""quinella place 2"": ""61.00"", ""quinella"": ""27.90"", ""exacta"": ""38.00"", ""quinella place 3"": ""7.90"", ""trifecta"": ""918.60""}"
caulfield-2026-02-07-r9,"{""quinella place 1"": ""8.20"", ""quinella"": ""125.30"", ""exacta"": ""144.50"", ""quinella place 2"": ""29.50"", ""quinella place 3"": ""33.20"", ""trifecta"": ""1094.50""}"
caulfield-2026-02-07-r10,"{""daily double"": ""16.90"", ""quinella place 1"": ""9.20"", ""quinella place 2"": ""11.20"", ""treble"": ""116.60"", ""quinella"": ""4.30"", ""exacta"": ""10.60"", ""quinella place 3"": ""2.00"", ""quaddie"": ""268.30"", ""trifecta"": ""174.40""}"
doomben-2026-02-07-r1,"{""quinella"": ""18.70"", ""exacta"": ""61.50"", ""trifecta"": ""248.40""}"
doomben-2026-02-07-r3,"{""quinella place 1"": ""22.30"", ""quinella place 2"": ""4.00"", ""quinella"": ""50.60"", ""exacta"": ""79.20"", ""quinella place 3"": ""12.60"", ""trifecta"": ""528.80""}"
doomben-2026-02-07-r4,"{""quinella place 1"": ""2.30"", ""quinella place 2"": ""8.40"", ""quinella"": ""53.40"", ""exacta"": ""128.20"", ""quinella place 3"": ""14.90"", ""trifecta"": ""331.10""}"
doomben-2026-02-07-r6,"{""quaddie"": ""6767.60""}"
doomben-2026-02-07-r7,"{""quinella place 1"": ""5.30"", ""quinella"": ""4.60"", ""exacta"": ""4.40"", ""quinella place 2"": ""2.90"", ""quinella place 3"": ""5.60"", ""trifecta"": ""59.70""}"
