venue,track_condition,distance,race_class,meeting_id,race_number,tip_rank,saddlecloth,horse_name,finish_position
"Kembla Grange","Good 4",1000,Maiden;,kembla-grange-2026-02-17,1,1,8,"Zing To Me",1
"Kembla Grange","Good 4",1000,Maiden;,kembla-grange-2026-02-17,1,2,6,Plume,5
"Kembla Grange","Good 4",1000,Maiden;,kembla-grange-2026-02-17,1,3,5,"My Proclama",3
"Kembla Grange","Good 4",1000,Maiden;,kembla-grange-2026-02-17,1,4,7,"Sweet Treasure",4
"Kembla Grange","Good 4",1400,Maiden;,kembla-grange-2026-02-17,2,1,11,"Coco Dior",2
"Kembla Grange","Good 4",1400,Maiden;,kembla-grange-2026-02-17,2,2,5,Waerea,1
"Kembla Grange","Good 4",1400,Maiden;,kembla-grange-2026-02-17,2,3,10,"Aurora Effect",5
"Kembla Grange","Good 4",1400,Maiden;,kembla-grange-2026-02-17,2,4,4,Barrengarry,3
"Kembla Grange","Good 4",1300,Maiden;,kembla-grange-2026-02-17,3,1,11,Chispa,1
"Kembla Grange","Good 4",1300,Maiden;,kembla-grange-2026-02-17,3,2,1,"El Qasabi",5
"Kembla Grange","Good 4",1300,Maiden;,kembla-grange-2026-02-17,3,3,3,"Amalfi Coast",6
"Kembla Grange","Good 4",1300,Maiden;,kembla-grange-2026-02-17,3,4,5,Mikkie,7
"Kembla Grange","Good 4",1500,"Benchmark 64;",kembla-grange-2026-02-17,4,1,5,"Exceed Perfection",2
"Kembla Grange","Good 4",1500,"Benchmark 64;",kembla-grange-2026-02-17,4,2,6,"Mah Ali",5
"Kembla Grange","Good 4",1500,"Benchmark 64;",kembla-grange-2026-02-17,4,3,8,"Outcast Girl",8
"Kembla Grange","Good 4",1500,"Benchmark 64;",kembla-grange-2026-02-17,4,4,7,"Devils Daughter",7
"Kembla Grange","Good 4",1200,"Benchmark 64;",kembla-grange-2026-02-17,5,1,12,Starinion,1
"Kembla Grange","Good 4",1200,"Benchmark 64;",kembla-grange-2026-02-17,5,2,9,"Killer Kerr",5
"Kembla Grange","Good 4",1200,"Benchmark 64;",kembla-grange-2026-02-17,5,3,1,Allapercanto,3
"Kembla Grange","Good 4",1200,"Benchmark 64;",kembla-grange-2026-02-17,5,4,4,"King Charles",7
"Kembla Grange","Good 4",1400,"Benchmark 68;",kembla-grange-2026-02-17,6,1,7,"Artful Persuasion",5
"Kembla Grange","Good 4",1400,"Benchmark 68;",kembla-grange-2026-02-17,6,2,4,Satness,1
"Kembla Grange","Good 4",1400,"Benchmark 68;",kembla-grange-2026-02-17,6,3,6,"Titanium Miss",3
"Kembla Grange","Good 4",1400,"Benchmark 68;",kembla-grange-2026-02-17,6,4,10,"Cheeky Dancer",7
"Kembla Grange","Good 4",1400,"Class 1;",kembla-grange-2026-02-17,7,1,8,"Magical Moments",1
"Kembla Grange","Good 4",1400,"Class 1;",kembla-grange-2026-02-17,7,2,3,"Easiest Choice",4
"Kembla Grange","Good 4",1400,"Class 1;",kembla-grange-2026-02-17,7,3,1,"Royal Corporal",8
"Kembla Grange","Good 4",1400,"Class 1;",kembla-grange-2026-02-17,7,4,4,"Damascus Calling",3
"Picklebet Park Werribee","Good 4",2720,Maiden,picklebet-park-werribee-2026-02-17,1,1,6,"High Heeled",1
"Picklebet Park Werribee","Good 4",2720,Maiden,picklebet-park-werribee-2026-02-17,1,2,2,Phoenician,2
"Picklebet Park Werribee","Good 4",2720,Maiden,picklebet-park-werribee-2026-02-17,1,3,5,Dejavast,4
"Picklebet Park Werribee","Good 4",2720,Maiden,picklebet-park-werribee-2026-02-17,1,4,3,"St Dominic",3
"Picklebet Park Werribee","Good 4",1600,Maiden,picklebet-park-werribee-2026-02-17,2,1,10,"New Romance",5
"Picklebet Park Werribee","Good 4",1600,Maiden,picklebet-park-werribee-2026-02-17,2,2,8,Kaddari,3
"Picklebet Park Werribee","Good 4",1600,Maiden,picklebet-park-werribee-2026-02-17,2,3,3,"En Mer",4
"Picklebet Park Werribee","Good 4",1600,Maiden,picklebet-park-werribee-2026-02-17,2,4,1,Barxian,11
"Picklebet Park Werribee","Good 4",1400,Maiden,picklebet-park-werribee-2026-02-17,3,1,9,Zoudeadly,3
"Picklebet Park Werribee","Good 4",1400,Maiden,picklebet-park-werribee-2026-02-17,3,2,7,"Pol Rogeur",2
"Picklebet Park Werribee","Good 4",1400,Maiden,picklebet-park-werribee-2026-02-17,3,3,3,"Strike First",4
"Picklebet Park Werribee","Good 4",1400,Maiden,picklebet-park-werribee-2026-02-17,3,4,11,"Wednesday’s Shout",10
"Picklebet Park Werribee","Good 4",1100,Maiden,picklebet-park-werribee-2026-02-17,4,1,4,"Purple Streak",1
"Picklebet Park Werribee","Good 4",1100,Maiden,picklebet-park-werribee-2026-02-17,4,2,1,"Cries And Whispers",6
"Picklebet Park Werribee","Good 4",1100,Maiden,picklebet-park-werribee-2026-02-17,4,3,12,"She’s Loaded",3
"Picklebet Park Werribee","Good 4",1100,Maiden,picklebet-park-werribee-2026-02-17,4,4,14,"The Real Man",9
"Picklebet Park Werribee","Good 4",1100,"Benchmark 56;",picklebet-park-werribee-2026-02-17,5,1,4,"The Wizard King",7
"Picklebet Park Werribee","Good 4",1100,"Benchmark 56;",picklebet-park-werribee-2026-02-17,5,2,1,Ellsworth,3
"Picklebet Park Werribee","Good 4",1100,"Benchmark 56;",picklebet-park-werribee-2026-02-17,5,3,11,"Lychee Green Tea",6
"Picklebet Park Werribee","Good 4",1100,"Benchmark 56;",picklebet-park-werribee-2026-02-17,5,4,8,Zousinger,5
"Picklebet Park Werribee","Good 4",1000,Handicap,picklebet-park-werribee-2026-02-17,6,1,1,"Luna Field",8
"Picklebet Park Werribee","Good 4",1000,Handicap,picklebet-park-werribee-2026-02-17,6,2,12,Magnardo,1
"Picklebet Park Werribee","Good 4",1000,Handicap,picklebet-park-werribee-2026-02-17,6,3,6,Balgowan,5
"Picklebet Park Werribee","Good 4",1000,Handicap,picklebet-park-werribee-2026-02-17,6,4,2,"The Crusader",10
"Picklebet Park Werribee","Good 4",1400,BM56,picklebet-park-werribee-2026-02-17,7,1,1,Justdoit,5
"Picklebet Park Werribee","Good 4",1400,BM56,picklebet-park-werribee-2026-02-17,7,2,3,Apppleby,6
"Picklebet Park Werribee","Good 4",1400,BM56,picklebet-park-werribee-2026-02-17,7,3,8,"Pure Rain",8
"Picklebet Park Werribee","Good 4",1400,BM56,picklebet-park-werribee-2026-02-17,7,4,2,"Take The Prize",7
"Picklebet Park Werribee","Good 4",1600,BM56,picklebet-park-werribee-2026-02-17,8,1,2,"Il Cielo",2
"Picklebet Park Werribee","Good 4",1600,BM56,picklebet-park-werribee-2026-02-17,8,2,1,"Seeyou Raider",
"Picklebet Park Werribee","Good 4",1600,BM56,picklebet-park-werribee-2026-02-17,8,3,7,Taxing,
"Picklebet Park Werribee","Good 4",1600,BM56,picklebet-park-werribee-2026-02-17,8,4,11,"Lucky Compass",4
Queanbeyan,"Good 4",1460,MAIDEN,queanbeyan-2026-02-17,1,1,2,"Common Goal",1
Queanbeyan,"Good 4",1460,MAIDEN,queanbeyan-2026-02-17,1,2,12,Zouqua,6
