meetings.name,meetings.bfExchangeEventId,meetings.races.bfExchangeMarketId,meetings.races.name,meetings.races.number,meetings.races.comment,meetings.races.runners.bfExchangeSelectionId,meetings.races.runners.name,meetings.races.runners.number,meetings.races.runners.ratedPrice,meetings.races.runners.early_speed
Bendigo,35309831,1.254529705,R1 425m Mdn,1,,89018724,Blame Wally,1,6.0,0.5792739826099134
Bendigo,35309831,1.254529705,R1 425m Mdn,1,,93240288,Harrys Coffee,2,22.67,0.08456554485609369
Bendigo,35309831,1.254529705,R1 425m Mdn,1,,95580286,Dream Lucky,3,5.14,0.42208720938050454
Bendigo,35309831,1.254529705,R1 425m Mdn,1,,95580287,Well Known,4,11.14,0.4270565663366954
Bendigo,35309831,1.254529705,R1 425m Mdn,1,,95580289,Queen Flow,6,5.58,0.4754529928803106
Bendigo,35309831,1.254529705,R1 425m Mdn,1,,93575644,Lolly Cake,7,4.98,0.5378600715717524
Bendigo,35309831,1.254529705,R1 425m Mdn,1,,95580290,Jilliby Pixie,8,8.01,Unknown
Bendigo,35309831,1.254529750,R10 425m Gr5,10,,78213090,Slay Queen Molly,1,11.47,0.6964689838158256
Bendigo,35309831,1.254529750,R10 425m Gr5,10,,84629685,Special Teams,2,5.98,0.9067019843600838
Bendigo,35309831,1.254529750,R10 425m Gr5,10,,95580303,Whoppi Devere,3,18.32,0.3305162087941504
Bendigo,35309831,1.254529750,R10 425m Gr5,10,,93320894,Bonnie Blitz,4,7.54,0.7343109433087198
Bendigo,35309831,1.254529750,R10 425m Gr5,10,,88070669,Paw Estrella,5,3.26,0.8576883794339261
Bendigo,35309831,1.254529750,R10 425m Gr5,10,,65788105,Gas Lantern,7,9.15,0.7293111558025035
Bendigo,35309831,1.254529750,R10 425m Gr5,10,,83984954,Highland Sal,8,14.44,0.728603676294439
Bendigo,35309831,1.254529750,R10 425m Gr5,10,,95580304,Bauxite Blinder,9,13.74,0.7498015015804533
Bendigo,35309831,1.254529755,R11 425m Gr5,11,,74302020,City Limit,1,7.51,0.3774373731148154
Bendigo,35309831,1.254529755,R11 425m Gr5,11,,73371540,Stifler,2,6.36,0.691909598016021
Bendigo,35309831,1.254529755,R11 425m Gr5,11,,72680576,Nalas Ghost,3,8.47,0.4652110181670789
Bendigo,35309831,1.254529755,R11 425m Gr5,11,,90487879,Paw Nelly,4,11.07,0.5388827877603456
Bendigo,35309831,1.254529755,R11 425m Gr5,11,,69162367,Gremlin,5,8.25,0.679707401267606
Bendigo,35309831,1.254529755,R11 425m Gr5,11,,67661908,Buck Shines,6,9.0,0.6165644304683489
Bendigo,35309831,1.254529755,R11 425m Gr5,11,,95580305,Marco Marco,7,13.79,0.3612659820265811
Bendigo,35309831,1.254529755,R11 425m Gr5,11,,71083505,Wild Serena,8,5.1,0.5616840141389849
Bendigo,35309831,1.254529760,R12 425m Vets,12,,61288669,Cornhill Raven,1,20.85,0.578898560506131
Bendigo,35309831,1.254529760,R12 425m Vets,12,,74494414,Perfect Ace,2,7.81,0.525997373671818
Bendigo,35309831,1.254529760,R12 425m Vets,12,,65023572,Hollywood Franky,3,16.14,0.5676569643825187
Bendigo,35309831,1.254529760,R12 425m Vets,12,,66826700,Abundant Lumens,4,15.13,0.4810755489824907
Bendigo,35309831,1.254529760,R12 425m Vets,12,,66069858,Sit And Steer,5,14.64,0.45764845124191067
Bendigo,35309831,1.254529760,R12 425m Vets,12,,60569113,Shima Stripe,6,1.96,0.5596553908266948
Bendigo,35309831,1.254529760,R12 425m Vets,12,,56489728,Solitary Flicker,7,14.1,0.5425088846393347
Bendigo,35309831,1.254529760,R12 425m Vets,12,,59723816,Over Achiever,8,21.74,0.36503377620136557
Bendigo,35309831,1.254529710,R2 425m Gr7,2,,91693146,Scott Ephraim,1,5.48,0.4725613773357393
Bendigo,35309831,1.254529710,R2 425m Gr7,2,,95580291,Rosies Chatter,2,3.47,0.6134069517137651
Bendigo,35309831,1.254529710,R2 425m Gr7,2,,94814461,Paw Damon,3,4.67,0.3777878686913074
Bendigo,35309831,1.254529710,R2 425m Gr7,2,,95580292,Prickle,4,22.25,0.23786699551377422
Bendigo,35309831,1.254529710,R2 425m Gr7,2,,93871750,Show Boat Johnny,5,18.15,0.4025524030985017
Bendigo,35309831,1.254529710,R2 425m Gr7,2,,92538684,Miss Mocha,6,8.53,0.7591249440739759
Bendigo,35309831,1.254529710,R2 425m Gr7,2,,92418203,Paw Xyla,7,15.85,0.3618416182343903
Bendigo,35309831,1.254529710,R2 425m Gr7,2,,83380107,Eccentric Mona,8,28.26,0.608331935339103
Bendigo,35309831,1.254529715,R3 425m Final,3,,95580294,Paw Raynor,2,10.82,0.6158160460201358
Bendigo,35309831,1.254529715,R3 425m Final,3,,42150060,Sweet Millie,3,6.63,0.9429285758083596
Bendigo,35309831,1.254529715,R3 425m Final,3,,95580295,Ivory Panke,4,23.16,0.7207047621773353
Bendigo,35309831,1.254529715,R3 425m Final,3,,94951930,Kid Gulla,5,10.29,0.5813929325877802
Bendigo,35309831,1.254529715,R3 425m Final,3,,81184035,Ace Chaser,6,37.0,0.788351724996942
Bendigo,35309831,1.254529715,R3 425m Final,3,,95580296,Percy,7,2.32,0.9246780113415718
Bendigo,35309831,1.254529715,R3 425m Final,3,,84267086,Imitated,8,24.01,0.31699073627486335
